subject-id,DSC,ASD,HD95,NSD,model,anatomy
s0918_femur_right_msk,0.93,1.04,3.0,0.82,UNETR,femur
sub-verse138_vert-23-seg-vert_msk,0.87,0.67,2.24,0.86,TwoDPermuteConcat,vertebra
s0763_hip_msk,0.86,0.76,2.83,0.5,MultiScale2DPermuteConcat,hip
s0798_rib_msk,0.49,1.12,5.66,0.56,MultiScale2DPermuteConcat,rib
s0763_hip_msk,0.88,0.75,2.24,0.57,SwinUNETR,hip
s0798_rib_msk,0.48,1.16,5.1,0.52,TwoDPermuteConcat,rib
sub-verse138_vert-23-seg-vert_msk,0.87,0.73,2.0,0.89,UNETR,vertebra
s0918_femur_right_msk,0.94,1.0,2.83,0.82,MultiScale2DPermuteConcat,femur
s0763_hip_msk,0.87,0.69,2.24,0.54,AttentionUnet,hip
s0918_femur_right_msk,0.95,0.77,2.45,0.9,UNet,femur
sub-verse138_vert-23-seg-vert_msk,0.87,0.65,2.24,0.85,UNet,vertebra
s0798_rib_msk,0.35,1.58,6.08,0.42,UNETR,rib
s0918_femur_right_msk,0.94,0.93,2.83,0.84,TwoDPermuteConcat,femur
s0798_rib_msk,0.24,1.79,22.36,0.3,OneDConcat,rib
sub-verse138_vert-23-seg-vert_msk,0.84,0.83,2.45,0.79,MultiScale2DPermuteConcat,vertebra
s0763_hip_msk,0.87,0.71,2.24,0.52,TwoDPermuteConcat,hip
s0918_femur_right_msk,0.94,0.89,3.0,0.83,SwinUNETR,femur
sub-verse138_vert-23-seg-vert_msk,0.89,0.6,2.0,0.9,AttentionUnet,vertebra
s0763_hip_msk,0.81,1.0,3.0,0.37,OneDConcat,hip
s0798_rib_msk,0.54,0.95,5.0,0.59,AttentionUnet,rib
s0798_rib_msk,0.57,0.86,7.28,0.58,SwinUNETR,rib
sub-verse138_vert-23-seg-vert_msk,0.86,0.76,2.83,0.81,TLPredictor,vertebra
s0763_hip_msk,0.87,0.79,3.0,0.5,UNet,hip
s0918_femur_right_msk,0.95,0.85,2.83,0.88,AttentionUnet,femur
s1058_rib_msk,0.35,1.32,5.39,0.38,TwoDPermuteConcat,rib
s0776_femur_left_msk,0.93,0.93,3.0,0.82,UNETR,femur
s1349_hip_msk,0.86,0.77,3.0,0.48,TwoDPermuteConcat,hip
sub-verse138_vert-24-seg-vert_msk,0.85,0.85,3.32,0.79,SwinUNETR,vertebra
s1058_rib_msk,0.34,1.32,3.74,0.4,AttentionUnet,rib
s0776_femur_left_msk,0.91,1.3,3.46,0.69,TLPredictor,femur
sub-verse138_vert-24-seg-vert_msk,0.83,0.85,3.32,0.72,UNet,vertebra
s1349_hip_msk,0.84,0.89,2.83,0.45,AttentionUnet,hip
s1058_rib_msk,0.32,1.46,6.56,0.38,MultiScale2DPermuteConcat,rib
s0776_femur_left_msk,0.87,1.96,5.39,0.51,OneDConcat,femur
sub-verse138_vert-24-seg-vert_msk,0.82,0.99,3.74,0.71,MultiScale2DPermuteConcat,vertebra
